団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
024422,青森県五戸町,70,70,72,75,77,78.4,80.4,82.4,84.3
024431,青森県田子町,71.8,75.3,78.4,76.7,78.6,79.7,81.6,86.9,85.3
024457,青森県南部町,71,72.9,74.8,65.1,,81.5,82.6,80,81.3
024465,青森県階上町,56,66.6,68.6,70.6,72.6,74.6,76.6,77.1,77.7
024503,青森県新郷村,77.1,78.7,80.4,81.6,82.8,83.9,85.1,76,77.4
032018,岩手県盛岡市,,42.7,44.8,46.1,41,42.6,44.9,48.2,50
032026,岩手県宮古市,65.3,60.4,62.4,71.9,73.5,73.8,73.6,75.1,76.7
032034,岩手県大船渡市,,40.6,42.8,45.1,47.4,45.2,52,,
032051,岩手県花巻市,70.3,72.6,74.6,73.7,75.7,68.7,75.3,,
032069,岩手県北上市,,,,,,,,,
032077,岩手県久慈市,,56.6,54.8,,,86.9,86.9,86.9,
032085,岩手県遠野市,80.4,,82.3,84,85.7,87.5,87.4,86.7,68
032093,岩手県一関市,,,,,,,,,
032107,岩手県陸前高田市,,19.9,18.4,21.3,25.4,27.3,30.5,32.8,36.9
032115,岩手県釜石市,85.4,85.8,82,59.2,61.5,63.5,64.4,66.3,68.1
032131,岩手県二戸市,,78.4,79.8,81.4,82.9,84,69.4,99.6,
032140,岩手県八幡平市,,57.4,60,62.7,65.1,67.8,65.7,70.6,70.6
032158,岩手県奥州市,,100,100,100,99.4,99.4,99.4,99.4,99.5
032166,岩手県滝沢市,82,84.8,,,,,,,
033014,岩手県雫石町,,71.5,69.7,70.4,70.7,72.9,75,74.7,76.9
033022,岩手県葛巻町,76.6,78.6,80.5,82.5,84.4,86.4,88.3,90.3,88.1
033031,岩手県岩手町,74.1,85.7,89.5,84.3,84.6,83.7,84.6,85.4,84.3
033219,岩手県紫波町,,69.5,71.4,72.1,74.2,76.2,78.1,77.9,81
033227,岩手県矢巾町,,56,58,60,57.1,58.9,60.9,62.9,64.9
033669,岩手県西和賀町,,75.8,78.1,80.2,82,83.7,85.4,87.1,91.2
033812,岩手県金ケ崎町,,60.6,60.3,67.8,68.3,67.7,65.4,66.5,65.4
034029,岩手県平泉町,,80.8,82.1,83.3,84.6,85.9,87.1,13.3,18
034410,岩手県住田町,,61.5,63.9,66.3,68.8,48.8,48.9,53.2,57.1
034614,岩手県大槌町,,,,,,,,24.6,21.7
034827,岩手県山田町,,62.3,64.2,64.4,65.9,67.5,69.7,74.2,74.2
034835,岩手県岩泉町,,,,,,,,,
034843,岩手県田野畑村,,31,33.7,38.6,39.2,41.9,44.4,46.8,49.3
034851,岩手県普代村,,,,,,,,,
035017,岩手県軽米町,73.6,74.8,76.9,79,81.2,83.3,85.5,87.6,89.6
035033,岩手県野田村,,,81.4,83.6,85.8,88,75.6,77.8,80
035068,岩手県九戸村,,71.3,72,73.9,75.9,76.2,77.8,78.6,80.8
035076,岩手県洋野町,,100,100,100,100,100,100,100,100
035246,岩手県一戸町,,70.3,72.4,74.6,76.7,78.5,78.5,,
041009,宮城県仙台市,,42.3,44.7,44.2,44.9,46.7,46.2,47.4,48.9
042021,宮城県石巻市,,78.9,80.6,44.7,26.8,27.7,29.9,32.9,35.1
